epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,176.809,1.82884,2.55027,1.30087,0.88114,0.85293,0.87467,0.43398,1.6183,1.32065,1.25932,0.00998473,0.00332824,0.00998473,0.00332824,0.00998473,0.00332824,0.00998473,0.00332824
2,348.278,1.6813,1.39033,1.21976,0.7868,0.79929,0.81473,0.40686,1.70929,1.54313,1.32864,0.0197869,0.00659563,0.0197869,0.00659563,0.0197869,0.00659563,0.0197869,0.00659563
3,498.271,1.70628,1.27306,1.25814,0.86207,0.72442,0.79231,0.38508,1.83009,1.92943,1.49843,0.029391,0.00979701,0.029391,0.00979701,0.029391,0.00979701,0.029391,0.00979701
4,650.954,1.71679,1.22905,1.295,0.79372,0.42893,0.51302,0.22961,1.93647,2.0748,1.50653,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,800.053,1.64517,1.11369,1.26322,0.86087,0.84941,0.88327,0.45352,1.69527,1.10114,1.34604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,949.509,1.59602,1.05377,1.24258,0.84589,0.84687,0.86484,0.42851,1.75943,1.16258,1.43277,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1098.96,1.55832,0.99745,1.22365,0.89517,0.92472,0.91664,0.47052,1.65613,0.97793,1.32818,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1248.12,1.53366,0.95809,1.21209,0.91449,0.91379,0.9325,0.50043,1.56629,0.88821,1.31106,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1396.74,1.49776,0.92232,1.19342,0.8914,0.94332,0.93505,0.50691,1.55523,0.92821,1.30546,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1546.59,1.48156,0.91451,1.19194,0.90473,0.90786,0.93957,0.51644,1.5358,0.84956,1.27415,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
