epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.32986,2.88361,4.20617,1.92549,0,0,0,0,4.27071,1.02734e+06,56.2045,0.00192593,0.00192593,0.0826667
2,8.13376,3.18675,3.60096,2.28813,0,0,0,0,4.77352,1.47236e+09,2.17076e+06,0.00392582,0.00392582,0.0646666
3,11.8487,3.1665,3.6949,2.34895,0,0,0,0,4.44001,2.9504e+07,59736,0.00592528,0.00592528,0.046666
4,15.3839,3.22468,3.49826,2.19668,1e-05,0.00498,0,0,4.0664,4.79479e+06,4044.51,0.00792399,0.00792399,0.0286647
5,18.9913,3.16397,3.55676,2.1983,0,0,0,0,4.12184,2.06956e+06,548.602,0.00992162,0.00992162,0.0106624
6,22.6231,3.00601,3.50083,2.16494,0,0,0,0,5.00816,2.23037e+06,353.734,0.00999322,0.00999322,0.00999322
7,26.1155,2.83698,3.42281,2.12694,0.05391,0.06621,0.02101,0.00672,3.82959,30.7791,6.92948,0.00999023,0.00999023,0.00999023
8,29.5757,2.89785,3.2904,2.14302,0.22116,0.10638,0.06435,0.02152,3.01076,6.90174,2.23676,0.00998671,0.00998671,0.00998671
9,33.0896,2.84513,3.17516,2.00513,0.08803,0.09629,0.03496,0.00849,3.165,13.5684,2.76598,0.00998264,0.00998264,0.00998264
10,36.5868,2.7743,3.09263,2.02094,0.02527,0.12808,0.0143,0.00475,3.03843,11.587,2.38227,0.00997803,0.00997803,0.00997803
11,39.9588,2.79248,3.11315,1.93745,0,0,0,0,3.67476,8.02736,8.86235,0.00997288,0.00997288,0.00997288
12,43.3298,2.7827,3.06097,1.95785,0,0,0,0,2.73637,14.9524,18.6499,0.0099672,0.0099672,0.0099672
13,46.8205,2.65243,2.98069,1.93178,0.16778,0.07973,0.0398,0.01437,2.83033,4.22453,2.6107,0.00996097,0.00996097,0.00996097
14,50.274,2.70749,3.11119,1.90192,0.00315,0.21211,0.00435,0.00101,3.3196,3.85998,2.64829,0.0099542,0.0099542,0.0099542
15,53.7344,2.69227,2.93228,1.84317,0.21264,0.12027,0.08996,0.02768,2.89639,3.54323,2.09481,0.0099469,0.0099469,0.0099469
16,57.2074,2.66184,2.94856,1.85573,0.12614,0.05549,0.04825,0.01194,3.15398,4.08335,2.09695,0.00993906,0.00993906,0.00993906
17,60.671,2.66182,2.84695,1.86104,0.21793,0.1819,0.13028,0.04026,2.84341,2.56269,1.85612,0.00993068,0.00993068,0.00993068
18,64.1936,2.73976,2.89144,1.81692,0.21449,0.1417,0.08867,0.02748,2.73584,3.96625,2.16836,0.00992177,0.00992177,0.00992177
19,67.7023,2.64334,2.94371,1.89487,0.14475,0.17371,0.08173,0.02125,2.87824,3.35523,2.00093,0.00991232,0.00991232,0.00991232
20,71.1264,2.65702,2.91788,1.83768,0.28156,0.15012,0.13146,0.03727,2.86402,2.63801,1.83011,0.00990234,0.00990234,0.00990234
21,74.5815,2.59418,2.75933,1.7441,0.02083,0.32102,0.03838,0.01323,3.0736,3.42592,1.85359,0.00989183,0.00989183,0.00989183
22,78.0786,2.53962,2.78126,1.76206,0.09037,0.06264,0.03928,0.01525,2.96945,2.86901,1.7473,0.00988079,0.00988079,0.00988079
23,81.5494,2.52667,2.72052,1.761,0.13518,0.21672,0.08359,0.02528,2.73552,2.45197,1.84232,0.00986922,0.00986922,0.00986922
24,84.9674,2.48051,2.6704,1.8097,0.13027,0.2065,0.11916,0.0301,2.754,2.51031,1.87461,0.00985711,0.00985711,0.00985711
25,88.3942,2.59761,2.81142,1.71155,0.24596,0.21108,0.12927,0.04275,2.67708,2.4839,1.78516,0.00984449,0.00984449,0.00984449
26,91.8573,2.56046,2.69071,1.68373,0.46292,0.09045,0.05937,0.01702,2.74817,2.71929,1.71649,0.00983133,0.00983133,0.00983133
27,95.2743,2.4081,2.63786,1.69224,0.16128,0.14594,0.09842,0.03956,2.78588,2.47642,1.73209,0.00981765,0.00981765,0.00981765
28,98.718,2.51407,2.69889,1.69571,0.20337,0.18532,0.12154,0.03542,2.91577,2.67997,1.76704,0.00980345,0.00980345,0.00980345
29,102.305,2.54723,2.62561,1.71617,0.20609,0.17081,0.1008,0.02989,2.74095,3.33027,1.7128,0.00978873,0.00978873,0.00978873
30,105.758,2.3944,2.60451,1.62819,0.10627,0.19373,0.10556,0.04042,2.6421,2.72096,1.67044,0.00977349,0.00977349,0.00977349
31,109.229,2.45976,2.54473,1.65122,0.20528,0.25872,0.14145,0.05031,2.62996,2.47747,1.82748,0.00975773,0.00975773,0.00975773
32,112.756,2.49437,2.5372,1.644,0.17818,0.21749,0.13559,0.05729,2.67235,2.22313,1.57399,0.00974145,0.00974145,0.00974145
33,116.24,2.46464,2.53194,1.62132,0.126,0.17295,0.05291,0.01668,2.91596,2.37121,1.73456,0.00972466,0.00972466,0.00972466
34,119.664,2.50242,2.59949,1.69252,0.16438,0.14594,0.08297,0.03422,2.64474,2.54889,1.70933,0.00970736,0.00970736,0.00970736
35,123.101,2.41988,2.56128,1.61619,0.04754,0.38543,0.11498,0.04249,2.80699,3.04828,1.57174,0.00968955,0.00968955,0.00968955
36,126.596,2.42758,2.4842,1.54714,0.1488,0.19606,0.07297,0.02148,2.74835,2.72398,1.78908,0.00967122,0.00967122,0.00967122
37,130.038,2.48645,2.52069,1.61578,0.21183,0.24026,0.13318,0.04187,2.53372,2.24121,1.48416,0.00965239,0.00965239,0.00965239
38,133.481,2.37826,2.44763,1.57858,0.27944,0.26292,0.14138,0.04875,2.51362,2.06949,1.52858,0.00963306,0.00963306,0.00963306
39,136.937,2.35649,2.4269,1.60248,0.18145,0.26413,0.11884,0.04028,2.7835,2.5172,1.61469,0.00961322,0.00961322,0.00961322
40,140.543,2.39505,2.47831,1.52445,0.21418,0.2768,0.14816,0.04417,2.66315,3.346,1.61053,0.00959289,0.00959289,0.00959289
41,144.075,2.42894,2.46405,1.59469,0.24567,0.25308,0.15134,0.04814,2.73453,2.33893,1.76098,0.00957205,0.00957205,0.00957205
42,147.578,2.36137,2.39263,1.52212,0.21825,0.2264,0.12282,0.04332,2.68879,2.23747,1.77185,0.00955072,0.00955072,0.00955072
43,151.18,2.37143,2.35426,1.59896,0.17574,0.15091,0.10923,0.04749,2.58124,2.27455,1.74888,0.00952889,0.00952889,0.00952889
44,154.659,2.36894,2.39854,1.53401,0.07616,0.22194,0.04471,0.01268,2.84179,5.00852,2.00555,0.00950658,0.00950658,0.00950658
45,158.117,2.32953,2.38929,1.61256,0.19662,0.27979,0.11294,0.0395,2.73177,2.71988,1.73678,0.00948377,0.00948377,0.00948377
46,161.582,2.27229,2.30199,1.52648,0.27204,0.20532,0.16327,0.05531,2.61594,2.11243,1.61386,0.00946048,0.00946048,0.00946048
47,165.033,2.36105,2.34508,1.48102,0.21088,0.27548,0.13562,0.049,2.6385,2.13254,1.59661,0.00943671,0.00943671,0.00943671
48,168.508,2.31346,2.33309,1.48555,0.23642,0.24734,0.15138,0.04935,2.75191,2.01613,1.5883,0.00941245,0.00941245,0.00941245
49,172.019,2.26976,2.31747,1.5262,0.18774,0.21211,0.09665,0.02944,2.69549,2.68462,1.60964,0.00938772,0.00938772,0.00938772
50,175.531,2.21921,2.28809,1.52335,0.22013,0.21352,0.13616,0.05168,2.49326,2.04921,1.47739,0.00936251,0.00936251,0.00936251
51,179.014,2.38654,2.35859,1.55141,0.20899,0.20754,0.11816,0.04189,2.73646,2.50279,1.54761,0.00933683,0.00933683,0.00933683
52,182.512,2.29882,2.26532,1.4795,0.2101,0.23989,0.12523,0.0407,2.71003,2.33004,1.72987,0.00931067,0.00931067,0.00931067
53,185.992,2.38414,2.29594,1.50152,0.18979,0.28403,0.12545,0.03042,2.7842,2.60525,1.7334,0.00928405,0.00928405,0.00928405
54,189.48,2.30342,2.25165,1.49881,0.23488,0.23381,0.14892,0.0387,2.68743,2.01937,1.52193,0.00925697,0.00925697,0.00925697
55,192.954,2.24992,2.18321,1.50058,0.20704,0.24413,0.14442,0.0507,2.73908,2.10751,1.58308,0.00922942,0.00922942,0.00922942
56,196.528,2.26715,2.28388,1.54689,0.26153,0.27539,0.15506,0.0435,2.63727,2.04388,1.52742,0.00920142,0.00920142,0.00920142
